Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
115,adidas,10246501_HE3157_000,adidas Tiro 23 Pro Torwarttrikot Kurzar,1001,Torwarttrikots,11ts_direct,10246501,84,4211.66,0,0.0,57,2934.19,20,968.16,7,309.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,673.23,13,776.51,26,1233.37,5,251.08,6,339.01,3,160.12,8,350.02,3,119.01,0,0.0,4,177.73,3,131.58,0,0.0,0,0.0,0,0.0
115,adidas,10276031_IN0423_000,adidas Tiro 24 Pro Torwarttrikot Schwar,1001,Torwarttrikots,11ts_direct,10276031,68,4190.53,0,0.0,0,0.0,58,3730.69,9,405.52,1,54.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,782.71,12,829.99,27,1580.95,8,537.04,1,66.62,5,222.34,3,116.56,0,0.0,1,54.32,0,0.0
115,adidas,10210238_HB1617_000,adidas Condivo 22 Torwarttrikot langarm,1001,Torwarttrikots,11ts_direct,10210238,105,4158.55,47,2117.47,42,1569.23,11,334.44,5,137.41,0,0.0,0,0.0,7,378.55,25,1038.7,15,700.22,10,470.99,9,315.25,15,515.44,8,267.55,2,60.08,4,126.45,2,54.71,3,93.2,2,57.85,1,25.59,0,0.0,2,53.97,0,0.0,0,0.0
115,adidas,10277868_IU0291_000,adidas Tiro 24 Competition Torwarttriko,1001,Torwarttrikots,11ts_direct,10277868,114,4135.85,0,0.0,0,0.0,82,3119.64,31,993.48,1,22.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,504.76,19,776.49,31,1074.01,21,764.38,8,307.29,7,209.48,11,336.4,5,140.31,1,22.73,0,0.0
122,KEEPERsport,KS70008-006,KEEPERsport Torwart Trikot Set Gelb F00,1001,Torwarttrikots,dash_pattern,KS70008-006,96,4062.78,0,0.0,0,0.0,9,412.03,68,2782.53,19,868.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,136.12,7,275.91,1,47.48,13,599.75,36,1398.71,18,736.59,19,868.22,0,0.0
136,uhlsport,10264420_1003667_013,uhlsport Reaction Torwartset Grün Blau,1001,Torwarttrikots,11ts_direct,10264420,67,4033.44,0,0.0,42,2673.69,25,1359.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,332.96,21,1409.41,16,931.32,8,490.74,10,526.04,6,280.27,1,62.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,adidas,10246500_HE3156_000,adidas Tiro 23 Pro Torwarttrikot Langar,1001,Torwarttrikots,11ts_direct,10246500,65,3947.49,0,0.0,44,2763.86,19,1099.61,2,84.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,299.66,11,703.34,17,1048.98,11,711.88,8,543.37,2,138.77,9,417.47,0,0.0,0,0.0,0,0.0,1,42.01,1,42.01,0,0.0,0,0.0
136,uhlsport,U5636-01,Uhlsport Bionikframe Torwart Baselayer,1001,Torwarttrikots,legacy,,71,3941.22,24,1485.3,25,1403.79,9,441.18,13,610.95,0,0.0,4,263.11,1,48.77,13,769.75,6,403.67,5,312.52,6,351.35,11,590.69,3,149.23,4,190.07,0,0.0,0,0.0,5,251.11,3,168.07,7,327.85,3,115.03,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS40008-116,KEEPERsport Torwarttrikot langarm Rot F,1001,Torwarttrikots,dash_pattern,KS40008-116,261,3931.93,59,1428.62,88,1319.24,71,742.97,43,441.1,0,0.0,10,241.15,16,373.63,22,543.67,11,270.17,9,188.79,10,192.56,41,608.74,28,329.15,21,217.18,14,137.61,26,256.91,10,131.27,10,130.92,8,97.17,23,186.13,2,26.88,0,0.0,0,0.0
115,adidas,10246592_HK7669_000,adidas Tiro 23 Pro Torwarttrikot Kurzar,1001,Torwarttrikots,11ts_direct,10246592,67,3918.13,0,0.0,50,3162.81,8,391.02,9,364.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,1055.04,9,544.97,16,962.26,10,600.54,3,177.03,0,0.0,4,155.36,1,58.63,3,128.68,5,195.7,1,39.92,0,0.0,0,0.0,0,0.0
115,adidas,10246594_HK7671_000,adidas Tiro 23 Pro Torwarttrikot Blau,1001,Torwarttrikots,11ts_direct,10246594,73,3855.48,0,0.0,48,2755.87,19,876.93,6,222.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,753.64,5,304.53,26,1397.46,5,300.24,3,171.2,5,288.08,11,417.65,0,0.0,1,39.36,4,143.4,1,39.92,0,0.0,0,0.0,0,0.0
115,adidas,10246586_HK7663_000,adidas Tiro 23 Pro Torwarttrikot Langar,1001,Torwarttrikots,11ts_direct,10246586,68,3851.58,0,0.0,52,3131.55,7,307.04,9,412.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,361.66,3,183.05,26,1508.12,17,1078.72,2,101.5,1,43.13,4,162.41,0,0.0,2,113.74,2,80.17,5,219.08,0,0.0,0,0.0,0,0.0
115,adidas,10246613_HK7693_000,adidas Tiro 23 Competition Torwarttriko,1001,Torwarttrikots,11ts_direct,10246613,126,3781.9,0,0.0,108,3303.55,11,319.99,7,158.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,438.79,19,681.65,44,1339.42,31,843.69,3,102.33,3,95.78,5,121.88,0,0.0,5,118.43,1,17.84,1,22.09,0,0.0,0,0.0,0,0.0
115,adidas,10246584_HK7661_000,adidas Tiro 23 Pro Torwarttrikot Langar,1001,Torwarttrikots,11ts_direct,10246584,59,3702.64,0,0.0,44,2892.97,12,669.66,3,140.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,216.26,6,489.88,27,1709.86,7,476.97,1,67.34,6,362.86,4,194.11,1,45.35,0,0.0,1,49.77,1,48.96,1,41.28,0,0.0,0,0.0
115,adidas,10246583_HK7660_000,adidas Tiro 23 Pro Torwarttrikot Langar,1001,Torwarttrikots,11ts_direct,10246583,69,3689.75,0,0.0,35,2072.66,19,1002.05,12,489.01,3,126.03,0,0.0,0,0.0,0,0.0,0,0.0,9,471.53,4,299.18,15,873.07,7,428.88,4,242.03,4,212.66,5,246.5,6,300.86,0,0.0,5,224.19,3,117.85,4,146.97,3,126.03,0,0.0
115,adidas,10277661_IS5349_000,adidas Tiro 24 Pro Torwarttrikot Grün,1001,Torwarttrikots,11ts_direct,10277661,54,3516.76,0,0.0,0,0.0,49,3176.77,5,339.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,318.46,15,1047.11,20,1213.28,10,597.92,5,339.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
