ParentSKU,Marke,ProductName,Farbcode,Current_Basisfarbe,Current_Highlight_1,Cut,Color_confidence,Resolution_source,Revenue_EUR,Flag
KS10025-471,KEEPERsport,KEEPERsport Varan7 Pro NC TW-Handschuhe,471,turquoise,,Negative Cut,high,mcp_ks,52383.0,MCP_KS_VERIFY
KS10020-001,KEEPERsport,KEEPERsport Varan7 Hero NC Blackout TW-,001,black,white,Negative Cut,high,mcp_ks,51136.0,MCP_KS_VERIFY
KS10022-406,KEEPERsport,KEEPERsport Varan7 Champ NC Aqua TW-Han,406,blue,,Negative Cut,high,mcp_ks,50566.0,MCP_KS_VERIFY
U1011375-001,uhlsport,uhlsport FM Cybertec Supergrip+ HN Torw,,white,blue,Negative Cut,medium,mcp,46262.0,MEDIUM_CONF
U1011379-001,uhlsport,uhlsport FM Cybertec Absolutgrip HN Tor,,white,blue,Negative Cut,medium,mcp,44794.0,MEDIUM_CONF
KS10023-066,KEEPERsport,KEEPERsport Varan7 Champ Power TW-Hands,066,red,white,Hybrid,high,mcp_ks,44273.0,MCP_KS_VERIFY
KS10051-804,KEEPERsport,KEEPERsport Varan8 Champ Power Demon To,804,black,green,Hybrid,high,mcp_ks,44234.0,MCP_KS_VERIFY
KS10030-423,KEEPERsport,KEEPERsport Varan8 Hero NC Torwarthands,423,blue,,Negative Cut,high,mcp_ks,43934.0,MCP_KS_VERIFY
KS10024-471,KEEPERsport,KEEPERsport Varan7 Champ GC TW-Handschu,471,black,turquoise,Rollfinger,high,mcp_ks,37888.0,MCP_KS_VERIFY
KS10023-471,KEEPERsport,KEEPERsport Varan7 Champ Power TW-Hands,471,black,turquoise,Hybrid,high,mcp_ks,36476.0,MCP_KS_VERIFY
KS10028-066,KEEPERsport,KEEPERsport Varan7 Challenge NC TW-Hand,066,red,white,Negative Cut,high,mcp_ks,35772.0,MCP_KS_VERIFY
KS10024-066,KEEPERsport,KEEPERsport Varan7 Champ GC TW-Handschu,066,red,white,Rollfinger,high,mcp_ks,34924.0,MCP_KS_VERIFY
KS10023-010,KEEPERsport,KEEPERsport Varan7 Champ Power TW-Hands,010,yellow,black,Hybrid,high,mcp_ks,32677.0,MCP_KS_VERIFY
KS10001-633,KEEPERsport,KEEPERsport Varan6 Hero NC Torwarthands,633,yellow,black,,high,mcp_ks,31947.0,MCP_KS_VERIFY
KS10050-555,KEEPERsport,KEEPERsport Varan8 Champ NC Raw Impact,555,green,,Negative Cut,high,mcp_ks,30853.0,MCP_KS_VERIFY
U1011371-001,uhlsport,uhlsport FM Cybertec Ultragrip SC Torwa,,white,blue,Hybrid,medium,mcp,30264.0,MEDIUM_CONF
KS10051-903,KEEPERsport,KEEPERsport Varan8 Champ Power Demon To,903,black,,Negative Cut,high,mcp_ks,29996.0,MCP_KS_VERIFY
KS10071-804,KEEPERsport,KEEPERsport Torwarthandschuhe Weiß,804,white,blue,Rollfinger,high,mcp_ks,28202.0,MCP_KS_VERIFY
U1011378-001,uhlsport,uhlsport FM Cybertec Absolutgrip HN Fit,,white,blue,Negative Cut,medium,mcp,28140.0,MEDIUM_CONF
KS10060-903,KEEPERsport,KEEPERsport Varan8 Challenge NC Demon T,903,black,,Negative Cut,high,mcp_ks,27841.0,MCP_KS_VERIFY
KS10081-755,KEEPERsport,KEEPERsport Varan8 Zone NC Torwarthands,755,red,,Negative Cut,high,mcp_ks,27451.0,MCP_KS_VERIFY
KS10026-471,KEEPERsport,KEEPERsport Varan7 Premier NC TW-Handsc,471,black,turquoise,Negative Cut,high,mcp_ks,26906.0,MCP_KS_VERIFY
KS10070-903,KEEPERsport,KEEPERsport Varan8 Pro NC Demon Torwart,903,black,,Negative Cut,high,mcp_ks,26834.0,MCP_KS_VERIFY
U1011372-001,uhlsport,uhlsport FM Cybertec Ultragrip Torwarth,,white,,Negative Cut,medium,mcp,26757.0,MEDIUM_CONF
KS10002-633,KEEPERsport,KEEPERsport Varan6 Hero Power TW-Handsc,633,yellow,black,,high,mcp_ks,25670.0,MCP_KS_VERIFY
KS10081-903,KEEPERsport,KEEPERsport Varan8 Zone NC Demon Torwar,903,black,green,Negative Cut,high,mcp_ks,25632.0,MCP_KS_VERIFY
U101137301-2000,uhlsport,uhlsport FM Cybertec Maignan Ultragrip,,white,orange,Hybrid,medium,mcp,25262.0,MEDIUM_CONF
