ParentSKU,Marke,MCP_Basisfarbe,Desc_Basisfarbe,Desc_colors,Revenue,Status
R5070239-4949,reusch,yellow,,,790.16,no_color_in_text
ETS3670102_783,reusch,black,,,781.81,no_description
R5070945-4942,reusch,blue,,,776.2,no_color_in_text
HO510671,HO Soccer,yellow,,,775.33,no_color_in_text
E7221808,erima,blue,,,775.07,no_color_in_text
8FP9927-MAG,reusch,,,,772.79,no_description
R5672235-4129,reusch,blue,,,765.27,no_color_in_text
10294113_7222401_000,erima,grey,,,764.05,no_color_in_text
EL4004930,Elite Sport,black,,,758.01,no_color_in_text
NCK4874-644,NIKE,red,red,red,757.74,found
HO520081,HO Soccer,black,,,751.28,no_description
R5170825-4010,reusch,white,,,750.09,no_description
ETS1000165_01,uhlsport,black,,,747.0,no_description
P041649-04,Puma,yellow,,,741.51,no_color_in_text
U0131,uhlsport,black,,,733.35,no_color_in_text
P041662-10,Puma,pink,,,725.8,no_color_in_text
ETSFS0424_000,adidas,black,,,724.42,no_description
R3370807-516,reusch,,,,719.12,no_description
HO511276IT,HO Soccer,black,,,716.67,no_description
EL4004270,Elite Sport,white,,,715.52,no_color_in_text
U1012,uhlsport,yellow,yellow,yellow,710.68,found
8FP9927-KEY,reusch,,,,708.59,no_description
HO510808IT,HO Soccer,green,blue,blue/yellow,705.31,found
NGS3381-644,NIKE,red,red,red,699.94,found
HO0515118IT,HO Soccer,red,,,698.76,no_description
P000033-REC,reusch,,,,695.5,no_color_in_text
ETSGK3506_000,adidas,grey,,,695.33,no_color_in_text
NXT-ADVANCE-MONSTERK,One Glove,black,,,694.22,no_description
R3170807-501,reusch,,,,692.62,no_description
HO520086,HO Soccer,green,,,688.84,no_description
EL4004390,Elite Sport,black,,,687.89,no_color_in_text
ETSFS0407_000,adidas,black,,,685.85,no_color_in_text
R5270810-6016,reusch,grey,,,684.99,no_description
NGS3884-010,NIKE,black,black,black,680.01,found
U1064,uhlsport,yellow,,,679.17,no_color_in_text
P041470-21,Puma,black,,,679.03,no_color_in_text
KSU1122-02,uhlsport,black,,,668.45,no_color_in_text
U1051-02,uhlsport,red,,,668.02,no_color_in_text
