Marke,ParentSKU,ProductName,Revenue_total,Kategorie_Code,Kategorie,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Gender,MCP_Sleeve_length,MCP_Pants_cut,MCP_Padding,MCP_Fit,MCP_Leg_type,MCP_Neckline,MCP_Feature_textile,MCP_Mesh_inset,MCP_Extra,MCP_resolved
KEEPERsport,KS60012-999,KEEPERsport Torwart Unterziehhose Kids,7099.68,1005,Torwart Unterziehhosen,KEEPERsport Goalkeeper Underpants PP Cold,configurable,KEEPERsport,"black, blue","Schwarz, Blau",,Herren,,long,"with-padding, hip, knee",,,,"breathability, comfortable, protection, cushioning",,drawstring,true
uhlsport,U5617J,Uhlsport Standard GK-Pants Kids,7042.64,1002,Torwarthosen,Uhlsport Standard GK-Pants Kids,configurable,uhlsport,black,Schwarz,,,,long,"hip, knee",normal,tight,,"comfortable, protection, durability",,drawstring,true
KEEPERsport,KS70007-906,KEEPERsport Set Langarm Torwarttrikot G,6793.93,1009,Torwartset,KEEPERsport GK-Shirt Set l/s,configurable,KEEPERsport,"yellow, black","Gelb, Schwarz",,"Herren, Damen",long-sleeve,three-quarter,"elbow, hip, knee",tight,cuffs,round-neck,"breathability, comfortable, lightweight, sweat-management, durability",laterally,drawstring,true
MC David,MC7745,McDavid Hex Goalkeeper 3/4 Pant,6619.03,1005,Torwart Unterziehhosen,McDavid Hex Goalkeeper 3/4 Pant,configurable,McDavid,black,Schwarz,,,,three-quarter,with-padding,,,,,,,true
uhlsport,U5625,uhlsport Anatomic GK-Pants,6292.3,1002,Torwarthosen,uhlsport Anatomic GK-Pants,configurable,uhlsport,black,Schwarz,,Herren,,long,"hip, knee",,,,"breathability, comfortable, protection",,,true
NIKE,NCJ6066-819,Nike Park IV GK-Shirt l/s,6288.85,1001,Torwarttrikots,Nike Park IV GK-Shirt l/s,configurable,NIKE,"white, orange","Weiß, Orange",NIKE Park,,long-sleeve,long,,tight,,round-neck,,back,,true
KEEPERsport,KS60014-116,KEEPERsport Torwart 3/4 Unterziehshirt,6173.39,1004,Torwart Unterziehshirts,KEEPERsport Goalkeeper 3/4 Undershirt PP,configurable,KEEPERsport,"black, green","Schwarz, Grün",,Herren,3-4,three-quarter,"with-padding, elbow",thin,,stand-up-collar,"breathability, lightweight, durability, cushioning",,,true
KEEPERsport,KS70007-910,KEEPERsport Torwarttrikot Rot,6121.79,1009,Torwartset,KEEPERsport GK-Training l/s Set + Pants 3/4,configurable,KEEPERsport,"red, black","Rot, Schwarz",,"Herren, Damen",long-sleeve,three-quarter,"elbow, hip, knee",loose,cuffs,stand-up-collar,"breathability, comfortable, lightweight, sweat-management, warming, durability, cushioning",,drawstring,true
KEEPERsport,KS40016-374,KEEPERsport GK Top RainSkin,6072.91,1003,Torwart Trainingsoberteile,KEEPERsport GK Top RainSkin,configurable,KEEPERsport,"black, blue","Schwarz, Blau",KEEPERsport RainSkin,,long-sleeve,,,,,stand-up-collar,,,,true
KEEPERsport,KS70008-109,KEEPERsport GK Match Set,6035.23,1001,Torwarttrikots,KEEPERsport GK Match Set,configurable,KEEPERsport,"black, orange","Schwarz, Orange",KEEPERsport PowerPadded,Herren,long-sleeve,"short, long",elbow,,,round-neck,,,,true
