Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,ItemID,Producer,ProducerArticleNumber,Variant,Herstellermodell,Marketingperiode,LaunchDate,ArticleGroup,CanonicalCategoryId,Color1,Color2,Color3,HerstellerFarbbezeichnung,Active,SapMaterialNumber,Produktgruppe,Produktart,Serie,Aermellaenge,Textillaenge,Passform,Ausschnitt,Material_1,Material_1_pct,Material_2,Material_2_pct,Mesh_Einsaetze,Extras,Technologien
uhlsport,10292057_1005292_041,uhlsport Prediction Torwartset F41,1001,Torwarttrikots,10292057,uhlsport,1005292,Uhl_T_TEX,1005292,222204,2024-03-12,103070,65,blau,gelb,,marine/fluo gelb,true,1005292-41,,Trikot-Sets,,Langarm,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Leicht;Schweißableitend
uhlsport,10292060_1005292_070,uhlsport Prediction Torwartset F70,1001,Torwarttrikots,10292060,uhlsport,1005292,Uhl_T_TEX,1005292,222204,2024-04-09,103070,65,gruen,,,grün,true,1005292-70,,Trikot-Sets,,Langarm,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Leicht;Schweißableitend
uhlsport,10292062_1005292_043,uhlsport Prediction Torwartset F43,1001,Torwarttrikots,10292062,uhlsport,1005292,Uhl_T_TEX,1005292,222204,2024-03-12,103070,65,blau,,,fluo blau,true,1005292-43,,Trikot-Sets,,Langarm,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Leicht;Schweißableitend
uhlsport,10292068_1005293K_001,uhlsport Prediction Torwartset Kids Sch,1001,Torwarttrikots,10292068,uhlsport,1005293,Uhl_T_TEX,1005293K,222204,2024-04-08,103070,65,schwarz,,,black,true,1005293-01,,Torhüter - Trikots,,Langarm,,schmal,Rundhals,,,,,allgemein,,Atmungsaktivität;Bequem;Schweißableitend
uhlsport,10292070_1005293K_092,uhlsport Prediction Torwartset Kids Gel,1001,Torwarttrikots,10292070,uhlsport,1005293,Uhl_T_TEX,1005293K,222204,2024-04-08,103070,65,gelb,schwarz,,fluo gelb/schwarz,true,1005293-92,,Torhüter - Trikots,,Langarm,,schmal,Rundhals,Polyester,100,,,allgemein,,Atmungsaktivität;Bequem;Schweißableitend
uhlsport,10292071_1005293K_043,uhlsport Prediction Torwartset Kids Bla,1001,Torwarttrikots,10292071,uhlsport,1005293K,Uhl_T_TEX,1005293K,222204,2024-04-08,103070,65,blau,,,fluo blau,true,1005293-43,,Torhüter - Trikots,,Langarm,,schmal,Rundhals,,,,,allgemein,,Atmungsaktivität;Bequem;Schweißableitend
uhlsport,10292072_1005293K_070,uhlsport Prediction Torwartset Kids Grü,1001,Torwarttrikots,10292072,uhlsport,1005293K,Uhl_T_TEX,1005293K,222204,2024-04-08,103070,65,gruen,,,grün,true,1005293-70,,Torhüter - Trikots,,Langarm,,schmal,Rundhals,,,,,allgemein,,Atmungsaktivität;Bequem;Schweißableitend
uhlsport,10292073_1005293K_041,uhlsport Prediction Torwartset Kids Bla,1001,Torwarttrikots,10292073,uhlsport,1005293K,Uhl_T_TEX,1005293K,222204,2024-04-08,103070,65,blau,,,marine/fluo gelb,true,1005293-41,,Torhüter - Trikots,,Langarm,,schmal,Rundhals,,,,,allgemein,,Atmungsaktivität;Bequem;Schweißableitend
adidas,10295149_IS5337_000,adidas Torwarttrikot Kids,1001,Torwarttrikots,10295149,adidas,IS5337,Adi_T_KID,IS5337,222211,2024-05-31,103070,65,rosa,,,TEREMA,true,IS5337,,,,Langarm,,,,,,,,,,
NIKE,10295156_FD7474_719,Nike Gardien V TW-Trikot langarm Gelb F,1001,Torwarttrikots,10295156,Nike,FD7474,Nike_T_MEN,FD7474,,2024-07-23,103070,,gelb,,,tour yellow/university gold/black,true,FD7474-719,Torhüter,Torhüter - Trikots,,Langarm,,schmal,Rundhals,Polyester,100,,,,,Atmungsaktivität;Bequem;Leicht;Schweißableitend;Dri-FIT
